Time,Open,High,Low,Close,Volume
,ADI,ADI,ADI,ADI,ADI
2005-01-03,23.107622475551516,23.326089047863867,22.714380264282227,22.714380264282227,3211000
2005-01-04,22.870423746529525,22.907876171622274,21.534651539273383,22.096426010131836,5831700
2005-01-05,21.915409457360138,22.414763218139864,21.771845399955122,22.19629669189453,6026900
2005-01-06,22.196292597508222,22.408518204330235,22.01527614852054,22.15884017944336,4049400
2005-01-07,22.158854298841995,22.602030813353004,21.990321881822112,22.1900634765625,3925700
2005-01-10,21.946614867784646,22.42724352443696,21.890437430484866,22.102663040161133,2809900
2005-01-11,21.909172132585716,22.071463637005962,21.70318969218427,21.896690368652344,3394500
2005-01-12,22.065214395040776,22.31489246598392,21.734392974981688,22.19629669189453,3263600
2005-01-13,22.19630456319352,22.27120705859592,21.815546441477956,21.9091739654541,3907900
2005-01-14,21.971590871061835,22.470944721995902,21.971590871061835,22.246234893798828,2530200
2005-01-18,22.15884536505289,22.745585765408002,22.027765442809727,22.51463508605957,3791200
2005-01-19,22.520876256644684,22.714374491196956,21.902924367423022,21.934133529663086,3614600
2005-01-20,21.815543767804098,22.171333553744773,21.553381494364746,21.628286361694336,4633600
2005-01-21,21.634520216828296,21.934132445515466,21.490956172734837,21.51592445373535,3580200
2005-01-24,21.771842383545373,21.771842383545373,21.191342972969228,21.253761291503906,3899300
2005-01-25,21.34738699147733,21.634515010568023,21.260000410111093,21.409805297851562,2803200
2005-01-26,21.62827512570681,21.840500710674277,21.43477455729046,21.771839141845703,3364400
2005-01-27,21.77184407991191,21.915408128612526,21.515925144209696,21.74063491821289,2652100
2005-01-28,21.721909731695035,22.058974427076574,21.49095905424027,21.684459686279297,2777900
2005-01-31,21.90916788888843,22.421005830875433,21.90916788888843,22.402280807495117,3617300
2005-02-01,22.4022837921213,22.92036506499617,22.377315503549895,22.464704513549805,3079500
2005-02-02,22.377313531278062,22.63947577595746,22.2524768616379,22.477184295654297,2316300
2005-02-03,22.477177791136388,22.477177791136388,21.81553506152718,21.996551513671875,2919800
2005-02-04,22.221262568407006,23.469648159465976,22.190053404851845,23.419713973999023,5226100
2005-02-07,23.313599960583606,23.756778655050518,23.182520044987985,23.419713973999023,3296900
2005-02-08,23.376027439468615,24.19371871454139,23.338575003690707,23.7318172454834,3350400
2005-02-09,23.68811387245707,23.68811387245707,23.0701620405207,23.20748519897461,3771500
2005-02-10,23.83166874085382,23.956507711314618,22.73933191625614,22.989009857177734,7508600
2005-02-11,22.90787110414445,24.262368033763785,22.864177808421637,23.750530242919922,9298400
2005-02-14,23.725573098769235,23.78175055979045,23.313605844982707,23.469654083251953,3323300
2005-02-15,23.47588682330564,23.77549902075073,23.107613050821996,23.294870376586914,3464100
2005-02-16,23.21997237300935,23.432198017847913,22.914116856789512,23.176279067993164,2475400
2005-02-17,23.107618480279235,23.34481241857007,22.84545625772481,22.90787696838379,3180300
2005-02-18,22.907877395379284,22.93908656073718,22.620749264315933,22.658199310302734,2131500
